1195	213
1082	152
1055	15
341	76
1897	213
1409	230
176	213
1142	93
124	93
2051	171
2552	30
298	213
1267	14
239	93
274	213
1080	233
2242	76
2972	142
2401	120
1951	93
428	213
2634	17
1366	222
1603	213
792	68
2362	93
1537	213
669	16
140	213
2711	15
2617	93
740	17
2149	142
1796	50
713	170
2053	1
1984	232
2757	213
406	213
510	188
1986	17
2595	93
1093	54
1521	144
2248	76
2966	10
224	93
273	54
1924	100
685	78
625	68
2333	222
1084	68
1538	170
2914	116
2926	213
2884	156
523	170
2574	171
2938	26
405	111
258	199
879	142
2148	68
1946	183
401	76
2962	120
1140	213
2204	104
1565	116
1822	213
650	222
1444	93
2036	213
391	191
2530	142
1827	93
2481	93
2819	19
494	213
2093	213
603	205
2260	68
1898	142
2152	192
1346	120
1733	222
1495	93
526	213
3009	93
524	120
1147	157
2158	213
2484	30
2928	30
2774	14
92	173
1339	93
2163	76
824	183
1817	213
2418	93
1337	120
2761	15
1221	30
1661	213
2886	14
2037	10
2958	120
1589	93
2456	231
2910	190
389	21
1021	157
950	164
2903	8
1125	213
534	131
439	15
1676	213
1979	165
2405	209
729	144
2843	213
2782	51
1350	171
431	53
50	225
690	93
302	171
788	213
1580	171
1308	93
2002	142
2854	216
2626	137
2807	100
1007	157
1010	213
726	93
1757	170
542	52
89	157
2825	93
1636	213
322	116
2101	76
582	144
920	190
2829	10
2319	75
2875	213
1399	175
2485	233
1901	30
2180	235
1072	222
960	171
1875	30
989	174
2143	216
782	15
1392	157
1702	183
1893	54
1552	1
1436	230
1895	213
820	170
2527	153
2009	68
2182	54
570	201
1980	213
2758	190
1735	93
1982	222
2663	116
2887	213
2332	213
1442	188
1492	93
2835	17
1920	55
513	190
1940	70
2649	142
977	222
1263	97
531	213
1788	93
2921	123
2283	170
210	213
1902	75
2660	93
2487	167
246	213
2056	68
2201	213
1144	75
334	93
560	173
2510	156
1470	171
1190	165
1704	213
1976	240
884	170
2601	142
1262	164
1900	213
1664	183
2811	68
730	216
2224	14
236	213
2076	30
1771	142
2919	93
1141	173
2353	93
1929	54
2437	137
1111	93
1753	30
992	232
1328	100
2654	54
1818	10
2087	213
2520	116
1848	15
2923	233
1256	93
2146	14
1691	157
2165	213
2853	213
2644	213
909	21
1136	172
2369	93
1582	170
2103	81
2060	201
2597	2
1814	183
936	162
814	157
152	230
2187	54
1335	171
2699	174
1708	213
1512	169
1938	213
2090	68
44	178
16	93
2545	213
756	10
2207	190
392	182
2763	190
2796	120
682	142
1743	75
24	142
2137	116
1329	240
2366	93
1577	213
1840	213
2231	222
2922	54
3007	54
1389	170
568	17
983	93
117	30
1881	213
1296	116
2085	142
710	213
1650	183
319	30
1386	30
1030	84
2665	120
537	142
2453	116
1102	213
115	93
956	216
2285	58
168	213
272	213
1777	213
1782	226
1163	93
1639	146
1992	170
2371	93
759	53
2145	174
919	116
2115	71
2855	213
1297	93
1501	210
1611	93
2787	128
1158	110
434	143
169	201
1438	213
2755	14
2837	222
2784	111
2428	112
1013	213
498	93
1962	68
1165	233
946	205
1812	222
189	53
2641	142
466	93
1129	68
699	205
3	53
1598	213
2951	188
1045	10
2916	157
1282	84
2957	33
304	171
1288	228
1155	1
265	213
2267	205
743	213
1937	93
1423	30
145	195
1526	54
1887	30
1109	232
1891	213
132	15
1188	142
2656	170
583	176
2747	76
379	216
1340	142
2024	125
597	213
2672	66
805	170
982	228
1433	157
675	54
2432	14
1775	213
2946	96
2991	77
1576	148
1148	213
2937	157
1122	53
2961	213
288	30
2296	93
1941	95
2063	54
2098	157
2468	171
502	213
1184	17
739	17
1969	55
94	30
417	23
2088	91
1549	93
2981	171
1601	69
2788	190
2447	93
2464	15
459	190
1208	181
1217	56
2873	222
475	93
1178	144
2467	174
1127	222
1490	116
569	142
2282	54
1406	1
2257	174
1092	26
122	93
1373	93
754	233
2503	213
328	233
2029	213
507	68
367	213
82	213
893	93
551	84
504	133
1728	173
71	54
469	101
1838	93
1022	213
2031	213
227	213
1198	20
899	200
1640	234
1934	205
2448	213
995	213
489	93
2022	213
2307	14
480	213
1242	14
1505	157
254	184
2276	98
162	170
2117	68
1126	213
1443	78
967	18
1286	222
2193	100
2357	170
996	174
467	142
1823	142
1726	174
1395	30
415	93
2880	213
2913	116
1852	133
2726	170
865	93
2367	68
2006	93
689	75
2804	10
2691	135
1553	213
1665	93
2945	213
2523	213
1826	205
2590	14
1600	222
2542	93
2840	222
351	14
624	213
1599	222
1660	190
1680	174
2798	120
937	213
1107	87
1334	30
70	213
554	93
3022	45
964	101
2838	173
1383	39
1792	17
1497	213
2911	170
2049	213
2690	233
2191	30
2417	213
1950	103
1426	93
2147	54
1388	14
2779	174
2277	171
3020	152
1547	142
1270	170
2041	129
2953	75
356	213
2686	93
2893	135
681	68
2434	93
35	10
2478	100
957	190
2449	142
945	170
768	14
883	120
45	136
2181	68
2188	145
874	111
365	75
1525	173
173	222
69	142
26	213
2244	190
116	142
1922	177
1885	55
1272	91
732	17
160	213
2476	174
2975	4
324	68
1935	213
708	68
340	26
1294	75
2287	14
2897	213
853	147
445	233
46	177
2229	170
1833	53
2546	181
1700	213
509	14
2708	213
1932	197
1872	183
806	213
1008	171
958	15
2846	213
1859	83
1638	66
1463	84
349	151
2608	32
1894	157
2309	93
2124	222
1520	219
2994	233
1432	129
402	2
1452	142
12	173
2340	171
109	183
2633	213
1235	213
870	157
217	190
2355	55
308	93
506	213
3011	10
1621	32
226	54
1619	93
656	222
1099	133
1472	68
378	173
432	35
225	133
2154	93
851	205
832	157
470	54
2321	93
796	189
816	93
2030	93
2507	190
1425	86
687	93
1323	120
2306	157
2376	223
326	111
385	93
1779	195
1088	231
450	222
395	93
2384	68
565	133
181	54
2547	146
1380	144
558	93
1331	93
864	170
780	213
1813	213
2082	111
1473	14
3015	116
427	93
1412	213
473	222
1498	133
2733	179
1112	213
196	155
606	233
619	170
2380	213
2078	142
1756	183
644	213
2883	133
1837	67
2334	213
616	213
1483	209
1504	75
1347	194
2441	190
1362	26
2086	228
1364	173
2797	157
830	93
79	213
2330	213
555	134
2130	234
1185	93
734	213
2184	1
1518	213
2907	157
2983	171
2573	142
1043	173
2097	213
446	15
2867	19
1720	95
290	95
1769	190
1194	54
519	157
2247	116
676	142
750	177
1245	8
212	14
1248	198
1531	170
2105	143
1210	213
863	213
643	222
2632	213
1068	68
1696	142
1236	109
2932	213
1138	190
2933	54
802	93
823	54
1921	168
559	170
1299	170
1588	234
1670	213
2337	213
2771	93
728	170
588	93
2517	93
2110	15
2465	133
1884	142
2010	157
607	68
1085	154
1955	93
1098	222
257	186
2127	213
1032	1
2629	170
1146	120
1047	190
2343	111
10	183
1069	54
980	53
126	78
2808	183
1967	142
443	75
2138	30
2749	153
1591	213
220	117
278	68
1716	106
2627	93
1500	226
423	93
892	14
979	93
2730	93
1204	68
205	19
240	61
1132	171
611	93
2066	209
1020	213
2129	170
1943	54
1014	15
1712	54
1642	173
1150	170
2852	213
2109	166
1738	157
461	84
485	213
2235	46
2703	52
691	68
2544	232
2217	93
1307	190
1759	142
1449	141
2801	222
1151	54
2365	15
1060	133
1563	55
2040	165
198	14
31	157
