6956	7122	3
13809	13954	3
1521	12310	2
11851	4422	3
5392	12860	5
358	10469	3
13649	12738	1
5498	2082	2
1797	13494	4
4582	5278	5
5962	869	5
7579	5197	4
5110	8691	5
8018	12502	5
1243	5383	3
5649	8447	4
10160	5269	2
3670	7560	4
312	3903	3
12705	11278	3
8017	497	4
4692	8910	3
9607	9736	2
4455	13007	3
12886	7381	4
9747	6387	4
8666	12450	4
11764	11284	5
13332	11698	3
12954	11232	5
4941	2758	4
3987	5188	4
11342	13208	4
6895	13987	4
4767	3871	4
3727	3289	3
761	5091	3
13476	4170	2
414	9410	3
1353	703	3
870	10031	4
11884	6646	4
10554	11459	4
4037	10467	1
12569	11	3
11628	10956	2
12529	8741	4
2704	13190	5
1021	6161	5
9747	7379	3
1577	2028	1
1870	2021	4
11919	5665	3
13756	13026	2
922	3535	5
10537	11256	4
11938	4860	5
9024	6568	3
9084	2910	4
207	12397	5
7251	2216	3
4935	5499	5
10214	1221	4
2255	13432	5
11115	2213	5
2164	5069	5
8842	6352	5
7219	4619	4
4569	7182	5
11665	1769	3
3240	12553	5
10594	7040	4
6922	13277	4
6310	10300	5
8541	2609	5
559	108	5
7641	38	3
2036	11281	3
9523	2971	5
10473	7859	4
94	9508	1
2023	1115	4
12576	11284	4
13067	8566	5
726	6459	4
3258	13127	4
12296	11625	2
7380	7901	3
10542	13719	5
4760	9137	3
574	13402	4
452	11893	5
3569	387	5
10479	4340	5
10055	9014	2
4957	1757	2
13386	6137	4
6397	677	4
13474	14002	5
1851	9313	3
1845	10427	2
5823	12761	4
11138	4763	3
12067	6937	5
11790	5156	4
13944	9664	3
9458	8774	5
821	13208	4
3045	13719	5
11956	11216	4
9053	7380	3
723	10772	2
9756	4082	4
9207	4253	3
335	8388	3
1195	7012	5
10256	10052	3
11914	5572	4
7464	13903	5
11558	8887	3
9998	1121	4
10102	13729	4
9703	8122	4
5668	5069	4
3108	13108	5
7482	2404	3
3186	2971	5
2040	11665	4
11171	6190	3
12360	5586	4
5704	10358	4
11683	10752	5
4588	6402	5
3155	5161	4
9556	2608	2
7250	5696	5
10055	7780	5
1562	7546	4
9458	4531	4
3314	10052	4
2384	6088	2
9966	4463	2
279	10490	3
4805	8553	4
11055	2693	1
2255	13073	4
664	3571	5
2274	8574	2
1939	12253	3
4692	2139	4
12230	11083	5
606	12362	5
6298	10044	4
2957	13208	2
13771	13208	4
8697	3238	4
6181	5161	4
541	12706	5
138	7123	5
4098	873	4
9299	9674	4
3840	1667	3
7566	4021	5
12529	7369	5
682	313	4
9828	6325	4
939	8138	4
12321	3768	4
5515	10044	5
2356	7156	5
5306	10377	5
3208	13211	5
4160	8759	5
11161	13874	3
10384	10051	4
11578	8410	3
816	10583	2
1829	11020	5
8991	12064	2
4537	2983	3
8454	3610	4
3747	387	5
7071	12049	1
6772	10458	5
9032	9243	4
8977	9258	4
7805	10409	2
11615	1137	4
9422	12982	4
477	1501	3
6028	6842	5
7733	10542	3
12826	9058	5
13704	8982	5
13133	6917	3
12537	12556	3
3658	13514	3
10833	4380	5
13184	460	3
8607	8961	3
12826	333	4
8121	12687	3
7259	14032	2
1803	10556	4
740	8401	4
2817	10074	2
13758	10415	4
10957	1975	4
3428	11716	2
8089	4316	3
10916	5200	5
9235	4218	4
11363	5944	4
4855	3862	5
5349	1629	5
4334	6219	4
6532	10427	4
235	7851	4
13407	6267	4
4597	8707	4
9860	2521	5
4956	5698	5
7937	9423	3
147	12761	5
2917	6389	1
5712	10989	4
13438	12260	3
1164	2729	5
11564	7880	4
1128	7448	5
411	5183	4
13606	108	4
1607	7506	4
7795	6350	3
13901	5665	2
3727	13817	4
13487	13817	5
6051	6454	2
4904	5188	4
10935	8703	3
10547	13888	2
2892	1290	1
12200	12441	4
2565	1900	5
12593	2637	5
4061	3569	5
8989	8289	4
7238	6555	4
12033	7560	4
6518	2556	5
11453	121	5
5713	4860	5
10055	8774	1
2368	7859	4
4728	7950	2
11282	7040	3
10158	9843	5
1243	5850	4
8624	2480	2
11874	1342	5
12592	8216	1
2651	11217	3
11710	12923	4
8840	3229	5
10256	11581	3
1636	787	5
10333	1127	1
6956	3048	4
9322	10649	5
12548	2344	5
7379	10864	2
1751	1908	5
7195	7757	2
10256	10335	4
8870	13786	4
101	6487	5
7546	13961	4
5651	6070	2
10258	9575	5
8028	10582	3
2269	467	4
10238	10835	3
7336	11729	3
9071	9114	5
11042	13802	3
6555	6352	4
5067	12260	5
11494	2164	4
5987	9556	3
11933	10141	2
7141	12783	2
11853	4649	4
11016	8518	5
8017	4513	4
799	13193	3
12886	4069	4
4935	12314	2
9073	1113	2
8830	5382	3
12287	2968	4
502	1028	5
10966	6315	5
6532	5069	4
471	7821	3
5712	1551	2
4070	4069	3
10864	3917	3
1157	3138	5
7914	2187	4
5761	5677	4
12687	8294	2
8056	1506	3
12578	2002	1
3711	8965	4
1291	5467	3
6759	9788	3
919	8193	3
2312	11947	4
6602	3116	4
5365	9252	3
6161	10211	4
471	7263	4
8050	13494	2
10652	6700	4
13200	1289	3
238	5591	4
11704	8971	5
12515	11048	2
13332	967	4
2308	4860	3
878	6920	1
11873	649	2
6352	12538	5
11884	1023	4
8942	6040	3
1636	7405	4
9084	13591	5
837	7506	4
6703	1900	3
5416	7892	4
9182	376	5
4061	6575	4
8107	13912	1
6605	9275	5
6746	10324	5
555	11542	5
121	11100	4
8405	483	5
243	5467	5
8666	6630	4
3464	4069	5
9980	8691	5
1554	7506	5
8240	10031	1
13756	8289	4
10055	1118	4
11479	3295	4
12852	13484	3
12991	272	3
10187	8445	4
12570	3576	5
1710	10277	5
3883	7647	2
3259	5321	3
12092	11230	3
7337	8245	5
6654	3448	4
5844	5382	3
11924	12469	5
7838	12437	5
9855	2774	3
2704	2967	2
2748	4444	3
9557	9121	2
11772	8602	2
9755	152	5
215	10525	4
9441	7630	5
6220	10494	5
6518	13707	5
10728	10724	2
1573	13435	5
13749	10711	5
8494	10991	5
7482	9998	4
3987	13356	4
7288	828	4
9439	9357	4
13127	8244	5
448	2973	3
6532	5665	3
12592	4919	4
7605	1025	5
6340	3852	4
3808	8566	5
3618	13524	4
12570	8854	5
6689	7277	1
9252	4069	4
488	5235	4
6450	12706	4
7602	2616	5
7530	1158	3
4306	5024	1
7579	10865	4
1188	12215	3
7997	12761	4
7889	11115	4
10627	4198	4
622	6186	3
12023	121	4
5110	11830	4
2616	3105	3
9883	12845	5
10158	4255	3
9942	4641	3
3553	10692	3
13487	8200	3
2079	1865	4
9556	5110	3
12162	5280	5
4948	10051	5
8206	10051	5
9682	8200	4
